Metadata_Batch,Metadata_Plate,Metadata_PlateType,Metadata_Platemap,Batch
20220914_Run1,CP-CC9-R1-01,CRISPR,platemap_1,Batch01
20220914_Run1,CP-CC9-R1-02,CRISPR,platemap_2,Batch01
20220914_Run1,CP-CC9-R1-03,CRISPR,platemap_3,Batch01
20220914_Run1,CP-CC9-R1-04,CRISPR,platemap_4,Batch01
20220914_Run1,CP-CC9-R1-05,CRISPR,platemap_5,Batch01
20220914_Run1,CP-CC9-R1-06,CRISPR,platemap_6,Batch01
20220914_Run1,CP-CC9-R1-07,CRISPR,platemap_7,Batch01
20220914_Run1,CP-CC9-R1-08,CRISPR,platemap_8,Batch01
20220914_Run1,CP-CC9-R1-09,CRISPR,platemap_9,Batch01
20220914_Run1,CP-CC9-R1-10,CRISPR,platemap_10,Batch01
20220914_Run1,CP-CC9-R1-11,CRISPR,platemap_11,Batch01
20220914_Run1,CP-CC9-R1-12,CRISPR,platemap_12,Batch01
20220914_Run1,CP-CC9-R1-13,CRISPR,platemap_13,Batch01
20220914_Run1,CP-CC9-R1-14,CRISPR,platemap_14,Batch01
20220914_Run1,CP-CC9-R1-15,CRISPR,platemap_15,Batch01
20220914_Run1,CP-CC9-R1-16,CRISPR,platemap_16,Batch01
20220914_Run1,CP-CC9-R1-17,CRISPR,platemap_17,Batch01
20220914_Run1,CP-CC9-R1-18,CRISPR,platemap_18,Batch01
20220914_Run1,CP-CC9-R1-19,CRISPR,platemap_19,Batch01
20220914_Run1,CP-CC9-R1-20,CRISPR,platemap_20,Batch01
20220914_Run1,CP-CC9-R1-21,CRISPR,platemap_21,Batch01
20220914_Run1,CP-CC9-R1-22,CRISPR,platemap_22,Batch01
20220914_Run1,CP-CC9-R1-23,CRISPR,platemap_23,Batch01
20220914_Run1,CP-CC9-R1-24,CRISPR,platemap_24,Batch01
20220914_Run1,CP-CC9-R1-25,CRISPR,platemap_25,Batch01
20220914_Run1,CP-CC9-R1-26,CRISPR,platemap_26,Batch01
20220914_Run1,CP-CC9-R1-27,CRISPR,platemap_27,Batch01
20220914_Run1,CP-CC9-R1-28,Control,platemap_28,Batch01
20220914_Run1,CP-CC9-R1-29,Target2,platemap_29,Batch01
20221009_Run2,CP-CC9-R2-01,CRISPR,platemap_1,Batch02
20221009_Run2,CP-CC9-R2-02,CRISPR,platemap_2,Batch02
20221009_Run2,CP-CC9-R2-03,CRISPR,platemap_3,Batch02
20221009_Run2,CP-CC9-R2-04,CRISPR,platemap_4,Batch02
20221009_Run2,CP-CC9-R2-05,CRISPR,platemap_5,Batch02
20221009_Run2,CP-CC9-R2-06,CRISPR,platemap_6,Batch02
20221009_Run2,CP-CC9-R2-07,CRISPR,platemap_7,Batch02
20221009_Run2,CP-CC9-R2-08,CRISPR,platemap_8,Batch02
20221009_Run2,CP-CC9-R2-09,CRISPR,platemap_9,Batch02
20221009_Run2,CP-CC9-R2-10,CRISPR,platemap_10,Batch02
20221009_Run2,CP-CC9-R2-11,CRISPR,platemap_11,Batch02
20221009_Run2,CP-CC9-R2-12,CRISPR,platemap_12,Batch02
20221009_Run2,CP-CC9-R2-13,CRISPR,platemap_13,Batch02
20221009_Run2,CP-CC9-R2-14,CRISPR,platemap_14,Batch02
20221009_Run2,CP-CC9-R2-15,CRISPR,platemap_15,Batch02
20221009_Run2,CP-CC9-R2-16,CRISPR,platemap_16,Batch02
20221009_Run2,CP-CC9-R2-17,CRISPR,platemap_17,Batch02
20221009_Run2,CP-CC9-R2-18,CRISPR,platemap_18,Batch02
20221009_Run2,CP-CC9-R2-19,CRISPR,platemap_19,Batch02
20221009_Run2,CP-CC9-R2-20,CRISPR,platemap_20,Batch02
20221009_Run2,CP-CC9-R2-21,CRISPR,platemap_21,Batch02
20221009_Run2,CP-CC9-R2-22,CRISPR,platemap_22,Batch02
20221009_Run2,CP-CC9-R2-23,CRISPR,platemap_23,Batch02
20221009_Run2,CP-CC9-R2-24,CRISPR,platemap_24,Batch02
20221009_Run2,CP-CC9-R2-25,CRISPR,platemap_25,Batch02
20221009_Run2,CP-CC9-R2-26,CRISPR,platemap_26,Batch02
20221009_Run2,CP-CC9-R2-27,CRISPR,platemap_27,Batch02
20221009_Run2,CP-CC9-R2-28,Control,platemap_28,Batch02
20221009_Run2,CP-CC9-R2-29,Target2,platemap_29,Batch02
20221017_Run3,CP-CC9-R3-01,CRISPR,platemap_1,Batch03
20221017_Run3,CP-CC9-R3-02,CRISPR,platemap_2,Batch03
20221017_Run3,CP-CC9-R3-03,CRISPR,platemap_3,Batch03
20221017_Run3,CP-CC9-R3-04,CRISPR,platemap_4,Batch03
20221017_Run3,CP-CC9-R3-05,CRISPR,platemap_5,Batch03
20221017_Run3,CP-CC9-R3-06,CRISPR,platemap_6,Batch03
20221017_Run3,CP-CC9-R3-07,CRISPR,platemap_7,Batch03
20221017_Run3,CP-CC9-R3-08,CRISPR,platemap_8,Batch03
20221017_Run3,CP-CC9-R3-09,CRISPR,platemap_9,Batch03
20221017_Run3,CP-CC9-R3-10,CRISPR,platemap_10,Batch03
20221017_Run3,CP-CC9-R3-11,CRISPR,platemap_11,Batch03
20221017_Run3,CP-CC9-R3-12,CRISPR,platemap_12,Batch03
20221017_Run3,CP-CC9-R3-13,CRISPR,platemap_13,Batch03
20221017_Run3,CP-CC9-R3-14,CRISPR,platemap_14,Batch03
20221017_Run3,CP-CC9-R3-15,CRISPR,platemap_15,Batch03
20221017_Run3,CP-CC9-R3-16,CRISPR,platemap_16,Batch03
20221017_Run3,CP-CC9-R3-17,CRISPR,platemap_17,Batch03
20221017_Run3,CP-CC9-R3-18,CRISPR,platemap_18,Batch03
20221017_Run3,CP-CC9-R3-19,CRISPR,platemap_19,Batch03
20221017_Run3,CP-CC9-R3-20,CRISPR,platemap_20,Batch03
20221017_Run3,CP-CC9-R3-21,CRISPR,platemap_21,Batch03
20221017_Run3,CP-CC9-R3-22,CRISPR,platemap_22,Batch03
20221017_Run3,CP-CC9-R3-23,CRISPR,platemap_23,Batch03
20221017_Run3,CP-CC9-R3-24,CRISPR,platemap_24,Batch03
